customer_id,first_name,last_name,full_name,addressing_title,email_address,phone,account_number,customer_type,city,address_line_1,address_no,address_st,address_line_2,State,Country,number_of_sales,total_amount_with_tax,last_order_date,status
22251,Martha,She,Martha She,Dear She,martha22@adventure-works.com,929-555-0195,AW00022251,I,Calgary,6827 Glaze Dr.,6827,Glaze Dr.,,Alberta,Canada,2,6598.3197,2004-02-25 00:00:00.000000 UTC,Active
15175,Kristi,Malhotra,Kristi Malhotra,Dear Malhotra,kristi21@adventure-works.com,380-555-0148,AW00015175,I,Calgary,4605 Springvale Court,4605,Springvale Court,,Alberta,Canada,2,5359.6147,2004-04-27 00:00:00.000000 UTC,Active
24757,Alisha,She,Alisha She,Dear She,alisha24@adventure-works.com,751-555-0159,AW00024757,I,Calgary,8892 Oak Grove Road,8892,Oak Grove Road,,Alberta,Canada,2,4799.667,2004-06-30 00:00:00.000000 UTC,Active
21652,Julia,Bell,Julia Bell,Dear Bell,julia51@adventure-works.com,362-555-0196,AW00021652,I,Vancouver,7516 Laguna Street,7516,Laguna Street,,British Columbia,Canada,2,2923.8944,2003-08-03 00:00:00.000000 UTC,Active
21618,Elijah,Carter,Elijah Carter,Dear Carter,elijah38@adventure-works.com,861-555-0126,AW00021618,I,N. Vancouver,6262 Pine Tree Dr.,6262,Pine Tree Dr.,,British Columbia,Canada,2,2885.2305,2003-08-05 00:00:00.000000 UTC,Active
11526,Katherine,Diaz,Katherine Diaz,Dear Diaz,katherine48@adventure-works.com,147-555-0124,AW00011526,I,Westminster,8160 Star Tree Court,8160,Star Tree Court,,British Columbia,Canada,1,2626.5408,2003-08-07 00:00:00.000000 UTC,Active
11618,Brian,Ramirez,Brian Ramirez,Dear Ramirez,brian19@adventure-works.com,167-555-0144,AW00011618,I,Cliffside,9145 Danesta Dr.,9145,Danesta Dr.,,British Columbia,Canada,1,2618.8058,2003-08-13 00:00:00.000000 UTC,Active
23172,Alexandra,Thomas,Alexandra Thomas,Dear Thomas,alexandra74@adventure-works.com,401-555-0167,AW00023172,I,Haney,5841 Westover Dr.,5841,Westover Dr.,,British Columbia,Canada,2,5314.376,2003-08-13 00:00:00.000000 UTC,Active
21332,Bailey,Carter,Bailey Carter,Dear Carter,bailey30@adventure-works.com,513-555-0117,AW00021332,I,Langford,6081 Westminster Pl.,6081,Westminster Pl.,,British Columbia,Canada,2,2891.6284,2003-08-13 00:00:00.000000 UTC,Active
23164,Kyle,Bryant,Kyle Bryant,Dear Bryant,kyle13@adventure-works.com,578-555-0154,AW00023164,I,Metchosin,6899 Jacqueline Way,6899,Jacqueline Way,,British Columbia,Canada,2,5311.8456000000006,2003-08-16 00:00:00.000000 UTC,Active
23209,Lucas,Lewis,Lucas Lewis,Dear Lewis,lucas35@adventure-works.com,810-555-0171,AW00023209,I,Royal Oak,5531 Fremont Street,5531,Fremont Street,,British Columbia,Canada,2,5306.3316,2003-08-16 00:00:00.000000 UTC,Active
22893,Chloe,Miller,Chloe Miller,Dear Miller,chloe39@adventure-works.com,332-555-0185,AW00022893,I,Cliffside,7390 Discovery Bay,7390,Discovery Bay,,British Columbia,Canada,2,6692.4436000000005,2003-08-17 00:00:00.000000 UTC,Active
11523,Lucas,Taylor,Lucas Taylor,Dear Taylor,lucas22@adventure-works.com,149-555-0146,AW00011523,I,N. Vancouver,2328 California Street,2328,California Street,,British Columbia,Canada,1,2626.5408,2003-08-19 00:00:00.000000 UTC,Active
29247,Sara,Gray,Sara Gray,Dear Gray,sara6@adventure-works.com,182-555-0192,AW00029247,I,Langford,8803 La Mar Ct,8803,La Mar Ct,,British Columbia,Canada,1,2703.9903,2003-08-19 00:00:00.000000 UTC,Active
11647,Randy,Wu,Randy Wu,Dear Wu,randy8@adventure-works.com,189-555-0124,AW00011647,I,Cliffside,589 Ashwood Dr.,589,Ashwood Dr.,,British Columbia,Canada,1,2614.3637,2003-08-19 00:00:00.000000 UTC,Active
22112,Paige,Reed,Paige Reed,Dear Reed,paige45@adventure-works.com,305-555-0120,AW00022112,I,Port Hammond,1256 Orangewood Ave.,1256,Orangewood Ave.,,British Columbia,Canada,2,6682.2887,2003-08-24 00:00:00.000000 UTC,Active
24778,Sean,Baker,Sean Baker,Dear Baker,sean39@adventure-works.com,957-555-0110,AW00024778,I,Langley,6132 Providence Dr.,6132,Providence Dr.,,British Columbia,Canada,2,3158.6343,2003-08-25 00:00:00.000000 UTC,Active
23858,Jonathan,Powell,Jonathan Powell,Dear Powell,jonathan8@adventure-works.com,366-555-0165,AW00023858,I,Oak Bay,2728 Clown Court,2728,Clown Court,,British Columbia,Canada,2,5207.5778,2003-08-25 00:00:00.000000 UTC,Active
29165,Benjamin,Perry,Benjamin Perry,Dear Perry,benjamin8@adventure-works.com,590-555-0180,AW00029165,I,N. Vancouver,3575 Tulip St,3575,Tulip St,,British Columbia,Canada,1,2659.7792,2003-08-30 00:00:00.000000 UTC,Active
24344,Wayne,Chander,Wayne Chander,Dear Chander,wayne18@adventure-works.com,951-555-0110,AW00024344,I,Cliffside,8989 Adelia Court,8989,Adelia Court,,British Columbia,Canada,2,4784.2191,2003-08-30 00:00:00.000000 UTC,Active
